ind,sampling_loc,raw_reads,assem_reads,assem_pct,pheno_ID,pca_ID_RAD,pca_ID_GBS,adm_ID,ngsadm_ID,ent_ID,agree?,checkHets,keep,comments,final_ID,,,,,,,
CEW16_135,Kigoma,1896877,1728720,91.1%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,1,Y,,Lsta,,,,,,,
JAR18_139983,Wampembe,881976,815013,92.4%,Lsta,#N/A,Lunk,Lsta,Lsta,Lsta,TRUE,2,N,,#N/A,,,,,,,
PBM2012_135,N_Mahale,2761383,2557659,92.6%,Lmar,#N/A,#N/A,Lmic,Lmic,Lmic,FALSE,1,Y,,Lmic,,,,,,,
PBM2015_1989,Kigoma,1143315,1018889,89.1%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
PBMC114,Kigoma,3791169,3545369,93.5%,Lmar,#N/A,#N/A,Lang,Lang,Lang,FALSE,1,Y,,Lang,,,,,,,
CEW16_023,Kigoma,1442804,1346528,93.3%,Juv,#N/A,#N/A,Lmic,Lmic,Lmic,TRUE,2,Y,,Lmic,,,,,,,
CEW16_029,Kigoma,2160207,1986656,92.0%,Lang,#N/A,#N/A,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
CEW16_034,Kigoma,1888963,1722084,91.2%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW17_120,Kigoma,330239,267467,81.0%,Lang,#N/A,#N/A,Lang,Lang,Lang,TRUE,4,N,,#N/A,,,,,,,
CEW17_123,Kigoma,1744146,1557798,89.3%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,4,N,,#N/A,,,,,,,
CEW17_126,Kigoma,2127087,1915131,90.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,3,N,,#N/A,,,,,,,
CEW17_150,Kigoma,2019438,1831997,90.7%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW17_153,Kigoma,1413586,1196744,84.7%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW17_155,Kigoma,2566656,2342748,91.3%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW18_223,Mpinbwe,901590,848779,94.1%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW18_224,Mpinbwe,651512,612140,94.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW18_225,Mpinbwe,1175000,1115519,94.9%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW18_226,Mpinbwe,946971,892568,94.3%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW18_227,Mpinbwe,719459,675989,94.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW18_228,Mpinbwe,855767,806015,94.2%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW18_229,Mpinbwe,30238,28588,94.5%,Lsta,#N/A,#N/A,Lsta,Lunk,Lsta,FALSE,4,N,,#N/A,,,,,,,
CEW18_230,Mpinbwe,1499917,1427788,95.2%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW18_231,Mpinbwe,854104,806557,94.4%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW18_232,Mpinbwe,1198942,1131770,94.4%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW18_234,Mpinbwe,1133111,1074305,94.8%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW19_132,S_Mahale,1033269,975760,94.4%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
CEW19_134,S_Mahale,746632,703234,94.2%,Lmic,#N/A,#N/A,Lmic,Lmic,Lmic,TRUE,2,Y,,Lmic,,,,,,,
CEW19_135,S_Mahale,1733211,1635449,94.4%,Lang,#N/A,#N/A,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
FISHEC17_138942,Ikola,1012974,868054,85.7%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
FISHEC17_139054,Kirando,1420899,1332305,93.8%,Lang,Lang,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
FISHEC17_139055,Kirando,1270673,1193694,93.9%,Lmic,Lmic,Lmic,Lmic,Lmic,Lmic,TRUE,2,Y,,Lmic,,,,,,,
FISHEC17_139056,Kirando,32093,29786,92.8%,Lang,Lang,#N/A,Lang,Lang,Lmar,FALSE,4,N,,#N/A,,,,,,,
FISHEC17_139057,Kirando,352769,329956,93.5%,Lang,Lang,#N/A,Lang,Lang,Lang,TRUE,4,N,,#N/A,,,,,,,
FISHEC17_139058,Kirando,2227893,2090595,93.8%,Lmic,Lmic,Lmic,Lmic,Lmic,Lmic,TRUE,2,Y,,Lmic,,,,,,,
FISHEC17_139129,Kasanga,1270780,1191486,93.8%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
FISHEC17_139255,Kagunga,830037,777416,93.7%,Lang,Lang,Lang,Lang,Lang,Lang,TRUE,4,N,,#N/A,,,,,,,
FISHEC17_139256,Kagunga,1202846,1130139,94.0%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
FISHEC17_139257,Kagunga,1511884,1379778,91.3%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
FISHEC17_139258,Kagunga,1142110,1071065,93.8%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
FISHEC17_139259,Kagunga,852388,793208,93.1%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,3,N,,#N/A,,,,,,,
FISHEC17_139260,Kagunga,811142,619124,76.3%,#N/A,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,4,N,,#N/A,,,,,,,
FISHEC17_139261,Kagunga,649035,611572,94.2%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,3,N,,#N/A,,,,,,,
FISHEC17_139263,Kagunga,1204021,1125102,93.4%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
FISHEC17_139265,Kagunga,1070823,967410,90.3%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,4,N,,#N/A,,,,,,,
FISHEC17_139266,Kagunga,914637,837915,91.6%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,3,N,,#N/A,,,,,,,
FISHEC17_139267,Kagunga,1494860,1403840,93.9%,Lmar,Lmar,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
FISHEC17_139268,Kagunga,1389299,1310558,94.3%,Lang,Lang,#N/A,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
FISHEC17_139339,Kigoma,1097942,1030251,93.8%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
FISHEC17_139340,Kigoma,756556,707050,93.5%,Lmar,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,3,N,,#N/A,,,,,,,
FISHEC17_139342,Kigoma,787226,737830,93.7%,#N/A,#N/A,Lmic,Lmic,Lmic,Lmic,TRUE,2,Y,,Lmic,,,,,,,
FISHEC17_139343,Kigoma,1119617,1047473,93.6%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
JAR18_139366,Kigoma,1413460,1327731,93.9%,Lang,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
JAR18_139367,Kigoma,1240765,1016910,82.0%,Lang,#N/A,#N/A,Lang,Lang,Lang,TRUE,4,N,,#N/A,,,,,,,
JAR18_139368,Kigoma,1347162,1254336,93.1%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
JAR18_139371,Kigoma,722550,422093,58.4%,Lang,#N/A,#N/A,Lang,Lang,Lang,TRUE,4,N,,#N/A,,,,,,,
JAR18_139372,Kigoma,1142540,987541,86.4%,Lang,#N/A,Lmar (but is close to Lang),Lunk,Lunk,Lunk,TRUE,3,N,,#N/A,,,,,,,
JAR18_139373,Kigoma,1315434,598999,45.5%,Lang,#N/A,Lang (plot is a bit outside of the cluster),Lang,Lang,Lang,TRUE,4,N,,#N/A,,,,,,,
JAR18_139374,Kigoma,613029,379054,61.8%,Lmar,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,4,N,,#N/A,,,,,,,
JAR18_139384,Kigoma,1360241,1257021,92.4%,Lmic,#N/A,#N/A,Lmic,Lmic,Lmic,TRUE,2,Y,,Lmic,,,,,,,
JAR18_139387,Kagunga,778913,611801,78.5%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139388,Kagunga,1339618,1236048,92.3%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139390,Kagunga,899623,590671,65.7%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139392,Kagunga,1511870,839100,55.5%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139394,Kagunga,1296185,1073928,82.9%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139395,Kagunga,707505,656878,92.8%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139396,Kagunga,1626690,1525319,93.8%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139397,Kagunga,780295,709782,91.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139398,Kagunga,785334,323690,41.2%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,4,N,,#N/A,,,,,,,
JAR18_139399,Kagunga,827268,769501,93.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139400,Kagunga,1765277,1642482,93.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139402,Kagunga,1003581,874691,87.2%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139403,Kagunga,777788,619484,79.6%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,3,N,,#N/A,,,,,,,
JAR18_139404,Kagunga,1002173,638749,63.7%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,3,N,,#N/A,,,,,,,
JAR18_139405,Kagunga,365983,215784,59.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,3,N,,#N/A,,,,,,,
JAR18_139406,Kagunga,811642,744982,91.8%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139407,Kagunga,709611,658660,92.8%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139408,Kagunga,1271301,1105637,87.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139409,Kagunga,1186254,1095668,92.4%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139410,Kagunga,977803,862608,88.2%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139411,Kagunga,507042,400413,79.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,3,N,,#N/A,,,,,,,
JAR18_139412,Kagunga,974133,856543,87.9%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139413,Kagunga,838785,721701,86.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,3,N,,#N/A,,,,,,,
JAR18_139527,Kigoma,1232781,1161136,94.2%,Lmar,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
JAR18_139528,Kigoma,900307,780797,86.7%,Juv,#N/A,Lmic,Lmic,Lmic,Lmic,TRUE,2,Y,,Lmic,,,,,,,
JAR18_139852,Kirando,924473,863850,93.4%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,2,Y,,Lsta,,,,,,,
JAR18_139853,Kirando,1097009,956287,87.2%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,3,N,,#N/A,,,,,,,
JAR18_139858,Kirando,1400400,1305162,93.2%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,4,N,,#N/A,,,,,,,
JAR18_139859,Kirando,633147,576307,91.0%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,4,N,,#N/A,,,,,,,
JAR18_139862,Kirando,1266206,1145897,90.5%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,4,N,,#N/A,,,,,,,
JAR18_139867,Kirando,438729,410354,93.5%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,3,N,,#N/A,,,,,,,
JAR18_139891,Kirando,1643525,1545493,94.0%,Lmar,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
JAR18_139895,Kirando,1217405,1134479,93.2%,Lmar,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
JAR18_139897,Kirando,1177054,1096512,93.2%,Lmar,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
JAR18_139899,Kirando,1442052,1339796,92.9%,Lmar,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
JAR18_139900,Kirando,1581481,1447506,91.5%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
JAR18_139901,Kirando,55496,52458,94.5%,Lmar,#N/A,#N/A,Lmar,Lmar,Lmar,TRUE,3,N,very little data,#N/A,,,,,,,
JAR18_139902,Kirando,1584765,1472993,92.9%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
JAR18_139903,Kirando,1412423,1317044,93.2%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
JAR18_139906,Kirando,862363,376734,43.7%,Lmar,#N/A,Lmar (but is close to Lang),Lunk,Lunk,Lunk,TRUE,4,N,,#N/A,,,,,,,
JAR18_139907,Kirando,768642,624870,81.3%,Lmar,#N/A,Lmar (but is close to Lang),Lunk,Lunk,Lunk,TRUE,4,N,,#N/A,,,,,,,
JAR18_139914,Kirando,1539679,1429927,92.9%,Lmic,#N/A,Lmic,Lmic,Lmic,Lmic,TRUE,2,Y,,Lmic,,,,,,,
JAR18_139921,Kirando,177180,113500,64.1%,Lmar,#N/A,#N/A,Lmar,Lmar,Lmar,TRUE,3,N,very little data,#N/A,,,,,,,
JAR18_139922,Wampembe,1140184,1029655,90.3%,Lang,#N/A,#N/A,Lmic,Lmic,Lmic,FALSE,3,N,,#N/A,,,,,,,
JAR18_139923,Wampembe,1397254,1295919,92.7%,Lmar,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
JAR18_139924,Wampembe,832266,641991,77.1%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,4,N,,#N/A,,,,,,,
JAR18_139925,Wampembe,1047760,963669,92.0%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
JAR18_139926,Wampembe,1143684,1065980,93.2%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
JAR18_139927,Wampembe,985084,863485,87.7%,Lmar,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,4,N,,#N/A,,,,,,,
JAR18_139928,Wampembe,1149964,1065694,92.7%,Lmar,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,3,N,,#N/A,,,,,,,
JAR18_139929,Wampembe,1208711,1140988,94.4%,Lsta,#N/A,#N/A,Lsta,Lsta,Lsta,TRUE,3,N,,#N/A,,,,,,,
JAR18_139930,Wampembe,869535,815559,93.8%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
JAR18_139931,Wampembe,821028,770369,93.8%,Lang,#N/A,Lang,Lang,Lang,Lang,TRUE,2,Y,,Lang,,,,,,,
JAR18_139932,Wampembe,1024820,949251,92.6%,Juv,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
JAR18_139933,Wampembe,949494,891798,93.9%,Lmar,#N/A,Lmar,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar,,,,,,,
